Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour_of_Day
0,1,0,5,1,2,4,0,4,0,8,5,8,4,3,3,3,6,2,2,2,10,3,2,4,0,5,2,7,12,Slight Injury,17
0,2,0,2,1,5,6,0,3,0,9,3,8,4,3,3,3,6,7,2,2,10,3,2,4,0,5,2,7,10,Slight Injury,17
0,1,0,2,1,2,7,0,5,0,4,5,8,4,3,3,3,6,6,2,2,10,2,0,2,3,4,2,7,14,Serious Injury,17
6,1,0,2,1,4,6,1,5,0,9,5,7,5,2,3,2,6,7,2,2,10,1,1,1,3,4,2,7,15,Slight Injury,1
6,1,0,2,1,2,8,0,3,0,6,5,8,5,3,3,2,6,7,2,2,10,3,2,4,0,5,2,7,10,Slight Injury,1
4,2,0,2,0,6,8,0,5,0,10,5,8,5,4,3,3,6,7,1,1,2,2,0,2,3,4,2,7,2,Slight Injury,14
2,1,0,2,1,2,4,0,5,0,8,3,8,3,4,3,3,6,7,1,1,9,2,1,1,3,4,2,7,17,Slight Injury,17
4,1,0,2,1,2,4,1,4,0,8,5,8,5,3,3,3,6,7,2,1,2,3,2,4,0,5,2,7,12,Slight Injury,17
4,1,0,2,1,5,7,0,1,0,6,5,8,5,2,3,3,6,2,2,1,10,1,0,0,3,4,2,5,15,Slight Injury,17
4,1,0,2,1,2,4,0,2,0,8,3,8,5,3,3,3,6,2,2,1,2,0,0,1,3,4,2,7,12,Serious Injury,17
5,1,0,5,2,2,6,0,5,0,8,5,8,4,3,3,3,6,3,2,1,7,3,2,4,0,5,2,7,14,Serious Injury,14
5,2,0,5,1,0,4,0,5,0,9,3,8,4,2,3,3,6,3,2,1,10,2,0,1,3,4,2,7,11,Serious Injury,14
3,1,0,2,1,2,6,0,2,0,9,2,3,4,3,3,3,6,3,2,2,10,3,2,4,0,4,2,7,16,Slight Injury,17
3,2,0,2,1,4,7,0,4,0,9,5,8,4,3,3,3,6,3,2,2,1,3,2,4,0,5,2,7,12,Slight Injury,17
3,2,0,2,1,5,4,0,1,0,9,3,3,4,3,3,3,6,3,2,2,10,2,1,1,3,4,2,7,16,Serious Injury,17
0,1,1,2,1,5,7,0,5,0,9,1,8,5,3,2,2,5,3,2,3,10,3,2,4,0,5,2,7,16,Serious Injury,22
0,1,0,2,2,4,6,0,5,0,9,3,8,5,3,2,2,5,3,2,3,10,3,2,4,0,4,2,7,12,Slight Injury,22
0,1,0,3,1,2,6,0,5,0,9,5,8,5,3,2,2,5,3,2,3,10,3,2,4,0,4,2,7,15,Serious Injury,22
0,1,0,2,1,2,8,0,4,0,8,5,8,5,3,2,2,5,3,2,3,9,3,2,4,0,0,2,7,11,Slight Injury,22
1,1,0,2,1,1,7,0,3,0,8,1,8,5,3,3,3,6,3,2,1,10,2,0,0,3,4,2,7,12,Serious Injury,8
1,0,0,2,1,2,7,0,5,0,10,1,8,5,3,3,3,6,3,2,1,10,3,2,4,0,4,2,7,7,Slight Injury,8
3,1,0,2,1,2,7,0,3,0,7,3,8,3,3,3,3,6,3,1,1,9,2,0,1,3,4,2,7,10,Serious Injury,15
3,1,0,3,1,4,7,0,5,0,4,5,8,5,3,3,3,6,8,2,1,6,0,1,2,3,4,2,7,2,Serious Injury,12
3,2,0,2,1,5,6,0,5,0,6,3,8,5,3,3,3,6,4,2,1,8,0,0,1,3,2,2,7,15,Serious Injury,12
2,1,0,2,0,6,8,0,5,0,8,5,8,3,0,3,3,6,3,2,3,7,3,2,4,0,4,2,7,0,Slight Injury,18
2,1,0,2,1,2,3,0,4,0,8,5,1,3,3,3,3,6,4,2,3,10,2,1,2,3,3,2,7,17,Slight Injury,18
2,1,2,2,1,4,8,0,2,0,9,2,8,3,3,3,3,6,3,2,3,10,1,0,0,3,4,2,6,14,Slight Injury,18
4,1,0,5,1,2,4,0,2,0,0,3,8,4,3,3,3,6,3,1,1,10,3,2,4,0,4,2,7,15,Slight Injury,14
1,3,2,2,0,6,8,0,5,0,10,5,8,4,3,3,3,6,7,2,1,10,2,0,2,3,5,2,7,11,Slight Injury,12
1,1,0,2,1,2,7,0,5,0,6,5,8,4,3,3,3,6,1,2,1,10,2,0,1,2,4,2,7,3,Slight Injury,12
